mode,n,successes,success_rate,success_rate_ci_low,success_rate_ci_high,success_cost_cny,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_p95,prompt_tokens_mean_ci_low,prompt_tokens_mean_ci_high,completion_tokens_mean,completion_tokens_median,completion_tokens_p95,completion_tokens_mean_ci_low,completion_tokens_mean_ci_high,local_context_total_mean,local_context_total_median,local_context_total_p95,local_context_total_mean_ci_low,local_context_total_mean_ci_high,model_wall_seconds_mean,model_wall_seconds_median,model_wall_seconds_p95,model_wall_seconds_mean_ci_low,model_wall_seconds_mean_ci_high,task_wall_seconds_mean,task_wall_seconds_median,task_wall_seconds_p95,task_wall_seconds_mean_ci_low,task_wall_seconds_mean_ci_high,tool_action_count_mean,tool_action_count_median,tool_action_count_p95,tool_action_count_mean_ci_low,tool_action_count_mean_ci_high,repeated_tool_action_count_mean,repeated_tool_action_count_median,repeated_tool_action_count_p95,repeated_tool_action_count_mean_ci_low,repeated_tool_action_count_mean_ci_high,retry_count_mean,retry_count_median,retry_count_p95,retry_count_mean_ci_low,retry_count_mean_ci_high,request_bytes_mean,request_bytes_median,request_bytes_p95,request_bytes_mean_ci_low,request_bytes_mean_ci_high,response_bytes_mean,response_bytes_median,response_bytes_p95,response_bytes_mean_ci_low,response_bytes_mean_ci_high,cpu_seconds_mean,cpu_seconds_median,cpu_seconds_p95,cpu_seconds_mean_ci_low,cpu_seconds_mean_ci_high,rss_peak_bytes_mean,rss_peak_bytes_median,rss_peak_bytes_p95,rss_peak_bytes_mean_ci_low,rss_peak_bytes_mean_ci_high,gpu_running_seconds_mean,gpu_running_seconds_median,gpu_running_seconds_p95,gpu_running_seconds_mean_ci_low,gpu_running_seconds_mean_ci_high,gpu_dedicated_peak_bytes_mean,gpu_dedicated_peak_bytes_median,gpu_dedicated_peak_bytes_p95,gpu_dedicated_peak_bytes_mean_ci_low,gpu_dedicated_peak_bytes_mean_ci_high,cost_cny_mean,cost_cny_median,cost_cny_p95,cost_cny_mean_ci_low,cost_cny_mean_ci_high,iterations_mean,iterations_median,iterations_p95,iterations_mean_ci_low,iterations_mean_ci_high
full,30,30,1.0,0.8864866068260312,0.9999999999999999,0.1473564,3962.0666666666666,3977.0,4159.55,3899.8650000000002,4020.6666666666665,1035.9666666666667,1018.5,1321.9999999999993,971.1991666666667,1111.5674999999999,3971.0666666666666,3986.0,4168.55,3908.5325,4030.866666666667,34.11209999999999,31.1715,50.06075,30.942165,37.34292666666666,34.3229333333283,31.35899999999674,50.30310000000172,31.269731666657172,37.598479166661804,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,1.0,0.0,0.3,13819.633333333333,13813.5,14308.55,13629.731666666667,14019.238333333333,296742.0333333333,289673.5,400573.64999999973,273277.55833333335,324388.05916666664,12.319270833333333,9.5234375,22.707812499999996,10.6015234375,14.232330729166666,165571652.26666668,207368192.0,214858342.4,143551812.26666668,186480868.69333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1473564,0.147302,0.17409219999999997,0.13982742999999997,0.15591799666666667,3.0,3.0,3.0,3.0,3.0
no_history,30,0,0.0,0.0,0.11351339317396876,,3365.0,3365.0,3365.0,3365.0,3365.0,1814.7333333333333,1827.5,1989.1499999999999,1772.065,1856.4333333333334,3380.0,3380.0,3380.0,3380.0,3380.0,58.73933333333333,54.203,80.45089999999999,53.674770833333326,64.17701083333334,59.370299999996014,54.82050000000163,81.1842499999795,54.245215000000805,64.83704333333176,15.0,15.0,15.0,15.0,15.0,11.9,12.0,12.0,11.7,12.0,0.3,0.0,2.0999999999999943,0.06666666666666667,0.6,13555.0,13555.0,13555.0,13555.0,13555.0,351628.8333333333,356364.5,414399.05,336806.5308333334,366603.2008333333,21.551041666666666,17.6796875,36.670312499999994,18.470546875,24.92946614583333,167729425.06666666,205506560.0,215078502.4,147162033.49333334,186670926.50666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21037333333333333,0.20667000000000002,0.23731799999999997,0.2045148533333333,0.21640981,5.0,5.0,5.0,5.0,5.0
no_reasoning,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,0.14179814285714287,3594.5,3684.5,3806.85,3449.929166666667,3687.4333333333334,940.9333333333333,948.5,1113.9999999999995,894.1641666666667,982.9666666666667,3654.3,3693.5,3815.85,3606.4983333333334,3698.5333333333333,31.5646,30.764499999999998,43.284749999999995,29.547361666666667,33.782354999999995,32.379733333336965,30.945000000006985,45.069750000003836,30.09221000000495,34.91468666667162,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.03333333333333333,0.3333333333333333,12420.0,12694.5,12955.7,11966.5175,12704.000833333334,262345.9666666667,264599.0,324147.7499999998,245584.81416666668,277582.6891666667,11.597395833333334,9.3125,17.7984375,10.2062109375,13.054700520833332,162869248.0,204206080.0,215605043.2,140791169.70666665,183887080.10666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13234493333333336,0.13117600000000001,0.152139,0.12597119,0.13756923999999998,3.0,3.0,3.0,3.0,3.0
no_tool_calls,30,0,0.0,0.0,0.11351339317396876,,251.33333333333334,260.0,260.0,234.0,260.0,1426.4666666666667,880.0,3732.3999999999983,935.3525,2053.1516666666657,263.0,263.0,263.0,263.0,263.0,47.1312,29.2965,127.86094999999999,31.852359999999997,66.47607583333334,47.643266666666996,29.351499999989755,127.89240000004064,32.635739166667726,66.78339583333978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.03333333333333333,0.3341666666666545,887.4,918.0,918.0,826.2,918.0,507685.13333333336,304326.5,1343107.1999999995,330902.3458333333,743409.7691666665,15.9859375,12.1796875,37.457812499999996,11.370820312500001,21.651276041666666,165855368.53333333,207325184.0,215605043.2,143728517.12,186896025.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435261333333333,0.088592,0.37383199999999983,0.09540071999999997,0.20418948,1.0,1.0,1.0,1.0,1.0
no_tool_results,30,1,0.03333333333333333,0.005908590381612455,0.16670390991409173,5.722448000000001,5193.533333333334,5834.0,7413.749999999999,4579.824166666666,5798.485,1458.6,1291.5,2440.0999999999995,1250.7583333333334,1672.2008333333333,5205.833333333333,5849.0,7428.749999999999,4608.6325,5808.143333333333,50.84423333333333,46.985,92.92284999999997,43.13270083333334,59.131674999999994,51.192266666668004,47.445000000006985,93.2978999999759,43.40408500000368,59.51167750000085,6.866666666666666,7.0,11.0,5.866666666666666,7.867499999999987,1.7333333333333334,1.0,5.099999999999994,1.0666666666666667,2.466666666666667,0.3333333333333333,0.0,1.5499999999999972,0.1,0.6,19189.733333333334,21373.5,28083.55,16938.94,21440.39333333333,383331.6666666667,313221.0,750834.6999999994,316677.20083333337,460333.8025,18.690625,15.453125,36.41640624999999,15.149466145833333,22.569921875,165999411.2,208093184.0,215604633.6,143956210.34666666,187080663.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1907482666666667,0.18035600000000002,0.29406039999999994,0.16683705,0.21626855000000003,4.1,5.0,5.0,3.7333333333333334,4.466666666666667
